genus,species,caste,ITlength_mm,dry_mass_mg
Bombus,griseocollis,queen,5.52264,35.657712003840565
Bombus,griseocollis,queen,5.68247,38.26018770489391
Bombus,griseocollis,queen,5.10376,29.34739425254521
Bombus,griseocollis,queen,5.21536,30.957417659754668
Bombus,griseocollis,queen,5.53,35.77516242152088
Bombus,griseocollis,queen,5.00431,27.955561242750612
Bombus,griseocollis,queen,5.60072,36.915444991411306
Bombus,griseocollis,queen,5.623,37.27910238517755
Bombus,griseocollis,queen,6.091,45.414560523739944
Bombus,griseocollis,queen,6.234,48.09274393371976
Bombus,griseocollis,queen,5.407,33.84240471664699
Bombus,griseocollis,queen,6.121,45.96885733536772
Bombus,griseocollis,queen,5.775,39.816921734117486
Bombus,griseocollis,queen,5.975,43.30879781137751
Bombus,griseocollis,queen,5.956,42.96954640025914
Bombus,griseocollis,queen,5.867,41.40149995500429
Bombus,griseocollis,queen,5.086,29.095883644080693
Bombus,griseocollis,queen,5.643,37.607353475719094
Bombus,griseocollis,queen,5.864,41.349247936012546
Bombus,griseocollis,queen,5.11,29.43606876508747
Bombus,griseocollis,queen,5.342,32.846727977780446
Bombus,griseocollis,queen,5.57,36.41750318865361
Bombus,griseocollis,queen,5.805,40.329591080899355
Bombus,griseocollis,queen,5,27.896149615113988
Bombus,griseocollis,queen,5.735,39.13942411319071
Bombus,griseocollis,worker,4.404,20.391015100030774
Bombus,griseocollis,worker,4.377,20.083729713276405
Bombus,griseocollis,worker,5.116,29.52148287604526
Bombus,griseocollis,worker,4.545,22.041079659605636
Bombus,griseocollis,worker,4.502,21.529765105108655
Bombus,griseocollis,worker,4.298,19.2005278987726
Bombus,griseocollis,worker,4.079,16.87455831612167
Bombus,griseocollis,worker,3.925,15.344868433872758
Bombus,griseocollis,worker,3.745,13.665415021471322
Bombus,griseocollis,worker,3.703,13.290114638321104
Bombus,griseocollis,worker,3.885,14.961628879480688
Bombus,griseocollis,worker,3.943,15.519210662131373
Bombus,griseocollis,worker,3.792,14.092787917882335
Bombus,griseocollis,worker,3.942,15.509494227882204
Bombus,griseocollis,worker,3.49,11.481591660773281
Bombus,griseocollis,worker,4.654,23.36933870858401
Bombus,griseocollis,worker,4.632,23.09752074286319
Bombus,griseocollis,worker,4.256,18.740570997119384
Bombus,griseocollis,worker,4.184,17.96745899717521
Bombus,griseocollis,worker,4.339,19.655948533018677
Bombus,griseocollis,worker,4.224,18.394572902057952
Bombus,griseocollis,worker,3.893,15.037815631210565
Bombus,griseocollis,worker,4.577,22.42623570435909
Bombus,griseocollis,worker,5.301,32.22776508182213
Bombus,griseocollis,worker,4.08,16.884774810295298
Bombus,griseocollis,worker,4.317,19.410786754288885
Bombus,griseocollis,queen,5.73333,39.11128894246769
Bombus,griseocollis,queen,5.6,36.90372841558979
Bombus,griseocollis,queen,5.46667,34.7720521584807
Bombus,griseocollis,queen,5.73333,39.11128894246769
Bombus,griseocollis,queen,5.33333,32.71525564660582
Bombus,griseocollis,queen,5.46667,34.7720521584807
Bombus,griseocollis,queen,5.13333,29.76901470387025
Bombus,griseocollis,queen,5.8,40.24387511047214
Bombus,griseocollis,queen,5.66667,37.99805303628277
Bombus,griseocollis,queen,5.46667,34.7720521584807
Bombus,griseocollis,queen,5.4,33.73432735313585
Bombus,griseocollis,queen,5.86667,41.395750310941374
Bombus,griseocollis,queen,5.63333,37.448430277742254
Bombus,griseocollis,queen,5.53333,35.82837787560257
Bombus,griseocollis,queen,5.56667,36.363768661198954
