date,site,visits
7/18/17,CAN,3
7/18/17,CEM,3
7/18/17,MOU,2
7/18/17,NOR,4
7/18/17,OLD,6
7/18/17,PRK,2
7/19/17,BUC,1
7/19/17,CAR,1
7/19/17,HOL,3
7/19/17,LAW,2
7/19/17,US2,5
7/20/17,BAR,4
7/20/17,CEM,3
7/20/17,LAW,2
7/20/17,NOR,2
7/20/17,OLD,8
7/20/17,VAN,1
7/21/17,AMW,1
7/21/17,BAR,3
7/21/17,BUC,3
7/21/17,LAV,3
7/21/17,QUA,1
7/21/17,ROO,2
7/21/17,ROY,1
7/21/17,US2,3
7/25/17,FOS,2
7/25/17,OLD,8
7/25/17,ZIO,4
7/26/17,AMW,5
7/26/17,CAN,3
7/26/17,CAR,3
7/26/17,HOL,3
7/26/17,LAV,1
7/26/17,MOU,2
7/26/17,NOR,4
7/26/17,QUA,7
7/27/17,AMW,3
7/27/17,BAR,8
7/27/17,BUC,5
7/27/17,CEM,2
7/27/17,JUN,23
7/27/17,LAW,7
7/27/17,ROO,4
7/27/17,VAN,3
7/27/17,WES,3
7/28/17,BAR,5
7/28/17,BUC,6
7/28/17,EVE,2
7/28/17,JUN,6
7/28/17,MOU,2
7/28/17,ROO,3
7/28/17,ROY,11
7/28/17,US2,4
7/29/17,FOS,3
7/29/17,ZIO,8
7/30/17,AMW,1
7/30/17,BAR,9
7/30/17,CEM,4
7/30/17,EVE,1
7/30/17,PRK,1
7/30/17,QUA,2
7/30/17,ROO,2
7/30/17,ROY,3
7/30/17,US2,8
7/30/17,VAN,1
7/31/17,CAN,2
7/31/17,CAR,2
7/31/17,HIL,3
7/31/17,HOL,2
7/31/17,LAW,2
7/31/17,MOU,7
7/31/17,WES,5
8/1/17,AMW,3
8/1/17,BUC,5
8/1/17,FOS,4
8/1/17,HOM,2
8/1/17,JUN,3
8/1/17,LAV,4
8/1/17,ROY,7
8/1/17,ZIO,6
8/2/17,CAN,2
8/2/17,HIL,2
8/2/17,HOL,1
8/2/17,WES,1
8/14/17,ZIO,2
8/16/17,JUN,16
8/16/17,LAV,3
8/17/17,CEM,7
8/17/17,HOM,2
8/17/17,PRK,2
7/11/18,BAR,2
7/11/18,BUC,1
7/11/18,CAR,2
7/11/18,HIL,2
7/11/18,LAW,3
7/11/18,ROO,12
7/12/18,BAR,2
7/12/18,CAR,1
7/12/18,ROO,6
7/13/18,BUC,1
7/13/18,CAR,3
7/13/18,HIL,2
7/13/18,ROO,12
7/16/18,BAR,2
7/16/18,CAR,3
7/16/18,LAV,1
7/16/18,LAW,2
7/16/18,MOU,11
7/16/18,ROO,5
7/18/18,CEM,8
7/18/18,ZIO,8
7/19/18,CAR,3
7/19/18,HIL,3
7/19/18,LAW,11
7/19/18,MOU,12
7/19/18,QUA,2
7/19/18,ZIO,6
7/20/18,CAN,9
7/20/18,HOL,1
7/20/18,HOM,2
7/20/18,WES,4
7/24/18,CEM,8
7/24/18,EVE,10
7/24/18,FOS,10
7/24/18,OLD,1
7/24/18,US2,4
7/24/18,VAN,6
7/26/18,FOS,3
7/26/18,QUA,5
7/26/18,ROY,4
7/26/18,US2,4
7/26/18,WES,8
7/26/18,ZIO,30
7/27/18,AMW,12
7/27/18,BAR,8
7/27/18,CAN,10
7/27/18,HOL,4
7/27/18,HOM,5
7/27/18,JUN,13
7/27/18,OLD,4
7/27/18,WES,6
7/29/18,CEM,6
7/29/18,HOM,7
7/29/18,PRK,1
7/29/18,US2,3
7/30/18,CAN,4
7/30/18,HIL,11
7/30/18,HOL,3
7/30/18,LAW,2
7/30/18,MOU,8
7/30/18,WES,6
7/31/18,AMW,5
7/31/18,EVE,3
7/31/18,JUN,12
7/31/18,PRK,4
7/31/18,QUA,5
7/31/18,VAN,2
7/31/18,ZIO,15
8/1/18,NOR,2
8/2/18,FOS,3
8/2/18,JUN,8
8/2/18,LAV,2
8/2/18,NOR,1
8/2/18,OLD,5
8/2/18,ROY,6
8/6/18,JUN,2
8/6/18,MOU,4
8/6/18,OLD,8
8/8/18,AMW,27
8/9/18,BUC,4
8/9/18,LAV,2
8/9/18,NOR,1
8/9/18,US2,1
