flower,colour,size,number.of.visits
F24,orange,small,97
F8,orange,small,96
F44,orange,small,90
F12,orange,small,82
F16,orange,medium,57
F20,orange,medium,31
F40,orange,medium,25
F28,orange,medium,24
F4,orange,medium,21
F48,orange,large,16
F32,orange,large,11
F36,orange,large,0
F49,red,small,90
F17,red,small,84
F41,red,small,82
F33,red,small,80
F45,red,medium,60
F1,red,medium,48
F29,red,medium,30
F9,red,medium,26
F37,red,medium,22
F13,red,large,9
F21,red,large,7
F5,red,large,5
F25,red,large,3
F14,white,large,90
F50,white,large,90
F18,white,large,76
F34,white,large,72
F42,white,large,72
F6,white,large,68
F26,white,medium,67
F22,white,medium,63
F30,white,medium,63
F10,white,small,54
F2,white,small,16
F46,white,small,4
F38,white,small,0
F43,yellow,large,81
F11,yellow,large,74
F23,yellow,large,69
F19,yellow,large,63
F35,yellow,large,62
F27,yellow,large,40
F39,yellow,medium,30
F3,yellow,medium,29
F15,yellow,medium,26
F47,yellow,small,4
F31,yellow,small,1
F7,yellow ,small,20
